StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,attention_check_1,attention_check_2,attention_check_3,attention_check_4,Q3,Q4,Q231,Q4,Q13_First Click,Q13_Last Click,Q13_Page Submit,Q13_Click Count,Q27_First Click,Q27_Last Click,Q27_Page Submit,Q27_Click Count,Q224,Q234_First Click,Q234_Last Click,Q234_Page Submit,Q234_Click Count,Q236_First Click,Q236_Last Click,Q236_Page Submit,Q236_Click Count,Q244_First Click,Q244_Last Click,Q244_Page Submit,Q244_Click Count,Q225_First Click,Q225_Last Click,Q225_Page Submit,Q225_Click Count,mistake,allocation,PROLIFIC_PID,SESSION_ID,STUDY_ID,transfer,reasons,beliefs,beliefs_hp,attention_check,story,Q_DataPolicyViolations
2026-04-21 14:56:52,2026-04-21 14:59:38,0,,100,166,1,2026-04-21 14:59:38,R_8VJDBhdWTGX0OJn,,,,,,,anonymous,EN,1,,,1,1,3,2,steve was given a bonus for his team's hard work and he has the option to give some of it to max as he also worked hard on the sales target. he needs to make a decision on what to do,0,0,2.009,0,3.438,7.796,8.601,2,i split it in half as i don't want to be greedy and take it all,3.391,3.391,5.022,1,,,,,4.899,4.899,6.319,1,0,0,0.208,0,0,3,664e381ed2536b7b8d8dbbb0,69e7902d1af796e2ec4cb3d9,69e7557895b8b62fbc3c50b8,3,i split it in half as i don't want to be greedy and take it all,4.5,3,1,2,
2026-04-21 14:56:04,2026-04-21 15:01:18,0,,100,313,1,2026-04-21 15:01:18,R_77gkLD1JTac6JK1,,,,,,,anonymous,EN,1,,,1,1,3,2,James is struggling financially and receives unexpected help from a welfare agency. His neighbor applied but didn't receive assistance and James is trying to decide whether to share.,0,0,2.009,0,5.732,11.069,13.906,3,It helped level the field. It gave player 2 six and left me four. It just felt right,3.94,8.94,11.201,3,,,,,,,,,0,0,0.23,0,0,4,63936bad01efa1e55f6e149d,69e78ff8c44643a2153a20f8,69e7557895b8b62fbc3c50b8,2,It helped level the field. It gave player 2 six and left me four. It just felt right,1,,1,4,
2026-04-21 14:52:17,2026-04-21 15:01:48,0,,100,570,1,2026-04-21 15:01:48,R_3QVCMGBUCUD9YZs,,,,,,,anonymous,EN,1,,,1,1,3,2,I would share the bonus. It would reinforce that team work is valued in this company.,0,0,2.046,0,5.036,12.583,16.255,3,I always start with a kind open hand and I hope player 2 would give me the 4 back.,10.598,16.905,21.511,5,,,,,20.872,24.738,28.411,4,0,0,0.117,0,0,2,69cfeaffaec5ff9e78b4478f,69e78f12f7f3574266731b7b,69e7557895b8b62fbc3c50b8,4,I always start with a kind open hand and I hope player 2 would give me the 4 back.,4,2,1,2,
2026-04-21 14:58:58,2026-04-21 15:02:02,0,,100,184,1,2026-04-21 15:02:03,R_19uGtWbCKz2Slrz,,,,,,,anonymous,EN,1,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,69d3cab621e83c00fdc3030c,69e790a88ae9464a6e956f2f,69e7557895b8b62fbc3c50b8,,,,,1,,
2026-04-21 14:57:54,2026-04-21 15:02:42,0,,100,288,1,2026-04-21 15:02:43,R_7MclQlk2jscA6n7,,,,,,,anonymous,EN,1,,,1,1,3,2,"If I received a performance bonus for exceeding my sales target, I would certainly give a portion of it to my teammate Max for his major contribution to the team's success. I would choose to give him exactly half of the bonus (50%) as it should be fairly split between us.",0,0,2.022,0,11.63,11.63,13.453,1,"I chose to send the full amount of $6, as I believe that once the money has been tripled, the other participate will send more than that amount back.",7.361,7.361,8.266,1,,,,,13.424,13.424,14.694,1,0,0,0.208,0,0,0,69e2a553c78882a4ac97830d,69e7906a19176bb443c530a0,69e7557895b8b62fbc3c50b8,6,"I chose to send the full amount of $6, as I believe that once the money has been tripled, the other participate will send more than that amount back.",9,3,1,2,
2026-04-21 14:58:35,2026-04-21 15:02:45,0,,100,249,1,2026-04-21 15:02:45,R_37qz0OwkUuB2S7S,,,,,,,anonymous,EN,1,,,1,1,3,2,James is having a hard time financially but receives money from the government. When he goes to receive the money he sees Mark who is an acquaintance who did not receive help from the government. James is torn on if he should share his money with Mark or not. ,0,0,2.01,0,11.414,14.43,16.173,3,I didn't want to give too much away knowing I need the money myself. ,9.288,10.821,12.597,2,,,,,7.172,7.172,8.326,1,0,0,0.206,0,0,5,61639cbb5ffec1a6b93b2334,69e79094c5034dc19e07b92f,69e7557895b8b62fbc3c50b8,1,I didn't want to give too much away knowing I need the money myself. ,1,2,1,4,
2026-04-21 15:00:28,2026-04-21 15:04:28,0,,100,239,1,2026-04-21 15:04:29,R_2Li2h07c5OStkPC,,,,,,,anonymous,EN,1,,,1,1,3,2,Steve has been awarded a bonus that he can choose to share with his colleague. He now has a choice to make about how much to share.,0,0,2.016,0,10.577,11.265,11.545,2,They would get a decent amount which matches the initial amount after is has been increased 3 times.,9.621,9.621,10.351,1,,,,,8.815,10.095,10.823,3,0,0,0.209,0,0,3,604ceec4b2028fd4ddbbd1d4,69e790b8a35002f29977c60d,69e7557895b8b62fbc3c50b8,3,They would get a decent amount which matches the initial amount after is has been increased 3 times.,3.5,3,1,2,
2026-04-21 15:01:30,2026-04-21 15:04:55,0,,100,204,1,2026-04-21 15:04:55,R_2Ia7OtugR99UhJ5,,,,,,,anonymous,EN,1,,,1,1,3,2,"Steve gets a bonus for being the team leader after exceeding sales target. He is torn on whether to give some of his bonus to his teammate Max, since Max also did a lot of work.",0,0,2.006,0,3.985,5.923,9.771,3,"It felt like a fine amount, not all of the money, but most. Have no need for any more of it.",2.926,7.195,8.303,3,,,,,4.862,7.443,8.666,3,0,0,0.205,0,0,2,66c5b0f61c745916cb52de46,69e79137cb58dd56d211407d,69e7557895b8b62fbc3c50b8,4,"It felt like a fine amount, not all of the money, but most. Have no need for any more of it.",3.5,1,1,2,
2026-04-21 14:57:34,2026-04-21 15:05:00,0,,100,446,1,2026-04-21 15:05:01,R_1K43BwHa7Zs1hD3,,,,,,,anonymous,EN,1,,,1,1,3,2,"Even if Mark is just an acquaintance, he is still a neighbor, and if James wasn't expecting this money and he can take care of his basic needs, he should help out Mark.  ",0,0,2.109,0,7.203,11.906,17.983,6,"I've used my time and effort in this survey but if I can cast some good into the world that helps someone that feels like enough payment to me. Of course there is the hope that someone would think the same as I do, and I would receive the full amount from a stranger, but the expectation of reward isn't what drives me. That something good may fall on another that needs help, and in this moment I had the chance to make that happen so that was my choice. ",4.479,17.791,22.927,2,,,,,9.948,17.996,18.964,3,0,0,0.103,0,0,0,694459cd574cb6bc13b4cf78,69e7905565c685233aa1fc12,69e7557895b8b62fbc3c50b8,6,"I've used my time and effort in this survey but if I can cast some good into the world that helps someone that feels like enough payment to me. Of course there is the hope that someone would think the same as I do, and I would receive the full amount from a stranger, but the expectation of reward isn't what drives me. That something good may fall on another that needs help, and in this moment I had the chance to make that happen so that was my choice. ",1.5,1,1,4,
2026-04-21 15:02:44,2026-04-21 15:06:15,0,,100,211,1,2026-04-21 15:06:15,R_2mlsg2pPS6bMfXV,,,,,,,anonymous,EN,1,,,1,1,3,2,James - needs money as tough time - knows someone vaguely and he hasnt been offered any assistance financially like James and james is wondering whether to give some money to someone he barely knows ,0,0,2.007,0,8.143,17.476,21.316,2,because 3 is better than 1 and i am struggling for money just as much so it is better than nothing ,7.28,14.896,15.638,5,,,,,6.13,6.13,8.886,1,0,0,0.206,0,0,5,5b93dc7cd5079c0001ce581f,69e791851820d9ff26fd794d,69e7557895b8b62fbc3c50b8,1,because 3 is better than 1 and i am struggling for money just as much so it is better than nothing ,3,6,1,4,
2026-04-21 14:53:32,2026-04-21 15:08:18,0,,100,886,1,2026-04-21 15:08:18,R_1IcMJHMKE9sjFtH,,,,,,,anonymous,EN,1,,,1,1,3,2,James applied for financial aid and got a call he had been selected to receive it. He ran into a neighbor on the way to collect it who wasn't so lucky but also struggling.,0,0,2.119,0,5.495,15.302,113.301,6,"It felt fair to split it
",11.606,14.436,19.169,3,,,,,17.683,23.489,24.735,6,0,0,0.216,0,0,3,67ad581c7825ebbd7a5365e0,69e78f64001582137dfe7c1b,69e7557895b8b62fbc3c50b8,3,,1.5,0,1,4,
2026-04-21 15:01:58,2026-04-21 15:08:27,0,,100,388,1,2026-04-21 15:08:27,R_8hY2Snpf9HLcm1b,,,,,,,anonymous,EN,1,,,1,1,3,2,"Steve had worked hard as team leader on a sales pitch and had therefore been awarded a bonus. He was told it was up to him if he kept the full bonus payment for himself or decided to share with his teammate Max, ",0,0,2.006,0,7.678,10.31,12.002,2,I sent 0 as I have no guarantee that the other player will send anything back to me so I will keep it all. ,,,,,4.85,7.322,8.853,2,5.065,6.169,10.061,2,0,0,0.207,0,0,6,5744045f2171b9000e3c0933,69e790abeb80285bc0fd6b96,69e7557895b8b62fbc3c50b8,0,I sent 0 as I have no guarantee that the other player will send anything back to me so I will keep it all. ,0,0,1,2,
2026-04-21 15:05:07,2026-04-21 15:11:06,0,,100,359,1,2026-04-21 15:11:06,R_16pwIUg8IK6kkOB,,,,,,,anonymous,EN,1,,,1,1,3,2,Steve got a bonus for the team and he was told to decide how much to give to Max.,0,0,2.111,0,7.737,7.737,9.031,1,closest to an even split for both people,4.868,5.933,6.603,2,,,,,3.862,5.756,6.542,2,0,0,0.206,0,0,5,5acc2d21436f550001003111,69e7921ce46eef7014f1b67b,69e7557895b8b62fbc3c50b8,1,closest to an even split for both people,0,1,1,2,
2026-04-21 15:07:14,2026-04-21 15:14:29,0,,100,434,1,2026-04-21 15:14:29,R_74oWx8RKWjYpk2X,,,,,,,anonymous,EN,1,,,1,1,3,2,James was awarded financial assistance while his neighbor Mark (who also applied) was not. James is struggling as to whether to give some of his financial assistance to Mark to help him out. ,0,0,2.004,0,10.145,12.329,24.974,2,I chose 1 dollar because it is tripled and player 2 will receive three dollars. Player two could keep all of it and I would still be okay financially. ,10.034,21.535,24.793,7,,,,,14.131,18.385,22.459,3,0,0,0.103,0,0,5,695fc5a2b8659c3fef4f8579,69e792979a3c14a8792109ec,69e7557895b8b62fbc3c50b8,1,I chose 1 dollar because it is tripled and player 2 will receive three dollars. Player two could keep all of it and I would still be okay financially. ,0.5,2,1,4,
2026-04-21 15:08:55,2026-04-21 15:15:58,0,,100,422,1,2026-04-21 15:15:58,R_6QKHlspYEBvTvLk,,,,,,,anonymous,EN,1,,,1,1,3,2,i would most definitely give max a portion of the bonus. he did his work and proved his work. without him the target may not have been reached,0,0,2.126,0,7.473,10.057,15.875,2,"if multiplied by 3, player 2 will get $6 which is fair to me",5.724,7.265,9.413,2,,,,,,,,,0,0,0.212,0,0,4,675360cf25079c2e50cce999,69e792fdcfba6ae8e422a506,69e7557895b8b62fbc3c50b8,2,"if multiplied by 3, player 2 will get $6 which is fair to me",2,,1,2,
2026-04-21 15:11:23,2026-04-21 15:16:11,0,,100,288,1,2026-04-21 15:16:12,R_2BuW6zaw4kew8JH,,,,,,,anonymous,EN,1,,,1,1,3,2,"Steve received a bonus for his performance for exceeding a sales target. He is allocated the full bonus but is given the option to keep it all for himself, or allocate some to a colleague.",0,0,2.003,0,2.521,4.14,9.229,3,"I wanted to be generous and give the full amount, and as it will be multiplied by 3, it might make the other persons decision easier as there is more money to play with.",5.803,9.352,10.558,6,,,,,7.11,7.11,10.064,1,0,0,0.208,0,0,0,66deb0ffee8bd891e059b4aa,69e79393b6fb2941b9f23875,69e7557895b8b62fbc3c50b8,6,"I wanted to be generous and give the full amount, and as it will be multiplied by 3, it might make the other persons decision easier as there is more money to play with.",9,3,1,2,
2026-04-21 15:09:57,2026-04-21 15:19:54,0,,100,597,1,2026-04-21 15:19:55,R_1NEqU4wtuIy9fwK,,,,,,,anonymous,EN,1,,,1,1,3,2,"James unexpectedly received financial assistance when he had most expected which he applied for a month ago. When he went to the agency to collect, he found his neighbor Mark he also applied but was unfortunate. Now his mind is torn between helping Mark or keeping the money for himself.",0,0,2.127,0,12.791,19.976,20.806,3,I want her/him to feel happy,8.4,19.681,20.679,2,,,,,11.323,12.831,14.122,2,0,0,0.243,0,0,1.5,69dbe71f53ec997d8cc93523,69e7933a2001f5bf432ab93e,69e7557895b8b62fbc3c50b8,4.5,I want her/him to feel happy,6.5,3,1,4,
2026-04-21 15:13:56,2026-04-21 15:20:04,0,,100,367,1,2026-04-21 15:20:04,R_3OwVd0f8v2i8H4z,,,,,,,anonymous,EN,1,,,1,1,3,2,James and Mark both applied for financial assistance. James was approved to receive assistance and now he has to decide if he wants to give some of it to Mark who is just a acquaintance since he wasn't approved for the assistance.,0,0,2.003,0,6.857,13.203,20.505,4,I chose three dollars because I know we as prolific participants all struggle and I feel it is important to help another person be able to get a bonus as well. ,4.175,9.32,14.036,3,,,,,4.69,4.69,9.497,1,0,0,0.202,0,0,3,66d2af66151a540b5d622d36,69e79421c27a8d6f3f3de4df,69e7557895b8b62fbc3c50b8,3,I chose three dollars because I know we as prolific participants all struggle and I feel it is important to help another person be able to get a bonus as well. ,3,1,1,4,
2026-04-21 15:12:44,2026-04-21 15:20:16,0,,100,451,1,2026-04-21 15:20:16,R_6PyXbMiWK9N0vDP,,,,,,,anonymous,EN,1,,,1,1,3,2,If James felt in his heart that he should give Mark some money then that would be the right thing to do.,0,0,2.015,0,12.129,18.366,19.851,2,I felt he deserved half of what I had,8.799,19.267,20.664,2,,,,,8.103,17.843,19.368,3,0,0,0.215,0,0,3,69e3d8b752896c069572b8d8,69e793e14249eae79c6c7a6f,69e7557895b8b62fbc3c50b8,3,I felt he deserved half of what I had,4,4,1,4,
2026-04-21 15:10:22,2026-04-21 15:20:27,0,,100,605,1,2026-04-21 15:20:28,R_525XlmvPRheEVl6,,,,,,,anonymous,EN,1,,,1,1,3,2,"James received government assistant during his financial crisis. While he is happy to get back on track financially, he noticed his neighbor was rejected for that same benefit. He feels somewhat responsible to give some of his aid to Mark.",0,0,2.109,0,2.521,2.521,6.143,1,To split it evenly and hope that participant 2 also splits it's even. Hopefully they see that I offered them a lot of them money with hopes they will give in return. This is a test for humanity.,3.588,23.301,24.744,4,,,,,6.535,8.774,10.125,2,0,0,0.213,0,0,3,58189c1f883c8800010ee630,69e79355c6d33bcba895220d,69e7557895b8b62fbc3c50b8,3,To split it evenly and hope that participant 2 also splits it's even. Hopefully they see that I offered them a lot of them money with hopes they will give in return. This is a test for humanity.,3,1,1,4,
2026-04-21 15:15:16,2026-04-21 15:21:20,0,,100,363,1,2026-04-21 15:21:20,R_2CsvYhFet6Z8RJQ,,,,,,,anonymous,EN,1,,,1,1,3,2,"a bonus was provided by a employee for his performance in a team, he can decide to keep the whole amount or give an amount to max",0,0,2.019,0,4.625,9.135,9.75,3,"its half, its fair for us to both get the same amount",7.68,15.691,16.738,5,,,,,45.311,69.63,70.46,7,0,0,0.215,0,0,3,67740dc45be1bcdc911ee2fe,69e7947345d6c20537a721b8,69e7557895b8b62fbc3c50b8,3,"its half, its fair for us to both get the same amount",4.5,3,1,2,
2026-04-21 15:04:15,2026-04-21 15:21:29,0,,100,1034,1,2026-04-21 15:21:30,R_5Jlzho9jY8u4tPx,,,,,,,anonymous,EN,1,,,1,1,3,2,"James and his neighbor, Mark, both applied for financial assistance; however, only James was approved for funding. When James went to collect his funds he ran into his neighbor, Mark, only to discover Mark also applied but was not approved for funding. James faced a dilemma. Should he keep all the funding or share some with Mark, even though was only an acquaintance. James was tempted not to share the money even though Mark was struggling. James had to decide what to do.",0,0,2.019,0,28.554,32.391,53.27,2,"I chose $2 because when multiplied by 3 it would give player 2 $6, the original amount I had. It didn't seem fair to keep more than I share.",8.636,16.718,41.001,2,,,,,,,,,0,0,0.215,0,0,4,69cf0c356b1e76cc7aa4f6cd,69e791dd84fc03f214b0ddc5,69e7557895b8b62fbc3c50b8,2,"I chose $2 because when multiplied by 3 it would give player 2 $6, the original amount I had. It didn't seem fair to keep more than I share.",1,,1,4,
2026-04-21 15:19:16,2026-04-21 15:21:44,0,,100,148,1,2026-04-21 15:21:44,R_3NV5lsHb7MRkvTe,,,,,,,anonymous,EN,1,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,69ced0b087147980bb4ac088,69e7956db9fec1f7a5b60d63,69e7557895b8b62fbc3c50b8,,,,,1,,
2026-04-21 15:17:00,2026-04-21 15:21:44,0,,100,284,1,2026-04-21 15:21:45,R_1I5XzvPX8LRtkhJ,,,,,,,anonymous,EN,1,,,1,1,3,2,"James applied for financial assistance from the government and was accepted to receive the full amount of aid he applied for. When he went to pick up the money, he ran into an acquaintance, Mark. He learned that Mark also applied and was not selected, he is considering helping Mark with the money he received.",0,0,2.009,0,2.837,2.837,5.54,1,"I chose $2, because it will be multiplied by $3, so player 2 will receive $6. ",9.425,10.859,13.279,2,,,,,,,,,0,0,0.105,0,0,4,6717ba3778af1768e781298e,69e794e55c6742e649d3bb3a,69e7557895b8b62fbc3c50b8,2,"I chose $2, because it will be multiplied by $3, so player 2 will receive $6. ",3,,1,4,
2026-04-21 15:17:42,2026-04-21 15:22:07,0,,100,264,1,2026-04-21 15:22:07,R_1lMjanEfPRu3X0Z,,,,,,,anonymous,EN,1,,,1,1,3,2,"He should give some to Max proportionate to his contribution.  Max made significant contribution, and though Steve is the leader, good leadership includes recognition.",0,0,2.023,0,39.655,45.361,54.048,5,"I chose that amount because it is ""in the middle"" even though it will be multiplied by three.  Also, if the other person does the ""right thing"" in my opinion, they would send back three, and we would each get six.  If not, then they likely really need it more than I do. ",3.436,7.773,8.65,2,,,,,14.16,16.559,17.223,6,0,0,0.207,0,0,3,69e5ae5138f1d7d3b6676246,69e795107d2c3f95350fd32c,69e7557895b8b62fbc3c50b8,3,,3,0,1,2,
2026-04-21 15:15:26,2026-04-21 15:22:15,0,,100,408,1,2026-04-21 15:22:15,R_70STiJR2BFtxPF1,,,,,,,anonymous,EN,1,,,1,1,3,2,Steve and his team are awarded a bonus.  Steve can decide how much his team receives.  His team does not know about the bonus.  He can keep the money for himself or share it.  Steve must make a decision as to how much his team receives.,0,0,2.005,0,15.164,16.645,22.771,2,I simply chose to share the amount equally.,4.956,13.927,17.409,2,,,,,10.599,12.822,13.654,2,0,0,0.205,0,0,3,69e281b4f3e8645fbe642f08,69e7948397ef8baf785246f5,69e7557895b8b62fbc3c50b8,3,I simply chose to share the amount equally.,3,2,1,2,
2026-04-21 15:15:41,2026-04-21 15:22:43,0,,100,421,1,2026-04-21 15:22:44,R_6BPlCRLCo45MXKh,,,,,,,anonymous,EN,1,,,1,1,3,2,"James is in financial trouble, he receives an email from the government saying he will receive financial aid. He later discovers his neighbor Mark, who is just an acquaintance, is also in financial trouble and now James is trying to figure out whether he should keep all of his new money or share with Mark.",0,0,2.115,0,5.072,13.354,20.497,6,I don’t know this other person and the likelihood that they would be willing to send money back is extremely unlikely. I chose $1 because in every outcome I am playing it safe and will receive some money.,5.457,9.573,11.152,7,,,,,5.474,6.224,7.086,2,0,0,0.111,0,0,5,69d468b084548e10dd81ecc1,69e79496d393a8b3a5f0abdf,69e7557895b8b62fbc3c50b8,1,I don’t know this other person and the likelihood that they would be willing to send money back is extremely unlikely. I chose $1 because in every outcome I am playing it safe and will receive some money.,0,0,1,4,
2026-04-21 15:17:35,2026-04-21 15:23:16,0,,100,341,1,2026-04-21 15:23:16,R_2myFlUNCeRjHTmC,,,,,,,anonymous,EN,1,,,1,1,3,2,james struggling financially got an email from government that he had been given financial help. found our his neighbour wasnt selected/ james had to decide whether to keep all or give some to mark,0,0,2.009,0,6.701,8.818,13.601,2,Because 2.5 multiplied by 3 is 7.5 which felt like a good number and a generous offer in the hope of a small amount back so we can both have a similar amount and it be fair. around 6 dollars.,2.989,12.523,14.066,3,,,,,9.411,9.411,10.367,1,0,0,0.207,0,0,3.5,5f7735ba0b8f6221c5c2995f,69e795095d5cb0d31a3d07e0,69e7557895b8b62fbc3c50b8,2.5,Because 2.5 multiplied by 3 is 7.5 which felt like a good number and a generous offer in the hope of a small amount back so we can both have a similar amount and it be fair. around 6 dollars.,1.5,1,1,4,
2026-04-21 15:11:02,2026-04-21 15:23:21,0,,100,738,1,2026-04-21 15:23:21,R_74IduW67rWxFCz3,,,,,,,anonymous,EN,1,,,1,1,3,2,"Steve should give a reasonable portion to Max, and a reasonable amount may even mean half. It is only fair because Max contributed a significant contribution to the team's success.  ",0,0,2.016,0,16.723,18.458,19.852,2,When they receive $2 it will be multiplied by 3 so they get $6. ,6.91,10.467,34.606,2,,,,,,,,,0,0,0.209,0,0,4,6682c269b9b9b8b8bcdffa07,69e7924feab888c4fb7c277b,69e7557895b8b62fbc3c50b8,2,When they receive $2 it will be multiplied by 3 so they get $6. ,2,,1,2,
2026-04-21 15:17:04,2026-04-21 15:24:46,0,,100,461,1,2026-04-21 15:24:46,R_2qECPZytactbc8n,,,,,,,anonymous,EN,1,,,1,1,3,2,Steve’s team was allocated a reward but he gets to choose to keep it. He can choose to give some to Max who’s part of his team. ,0,0,2.015,0,7.141,15.353,16,7,I just wanted to keep it.,,,,,1.373,13.935,14.616,5,5.119,8.534,14.282,3,0,0,0.209,0,0,6,60394fde95a5a03dcc668c4b,69e794e9815ae0f88076eb1a,69e7557895b8b62fbc3c50b8,0,I just wanted to keep it.,0,3,1,2,
2026-04-21 15:21:59,2026-04-21 15:25:31,0,,100,211,1,2026-04-21 15:25:31,R_3U6ilOfj2RjfBGl,,,,,,,anonymous,EN,1,,,1,1,3,2,"Steve's team was awarded a bonus, but they gave the full amount to Steve. Steve could choose to share with the people who helped get the bonus, like Max, but doesn't know what he should do.",0,0,2.007,0,2.697,2.697,4.622,1,Because I want to have the best chance of maximizing output without risking the entire bonus to someone greedy.,6.129,6.129,8.712,1,,,,,11.468,11.468,13.537,1,0,0,0.207,0,0,2,63114fcf2fc8f4d507560901,69e7961187db4930238cdf8c,69e7557895b8b62fbc3c50b8,4,Because I want to have the best chance of maximizing output without risking the entire bonus to someone greedy.,5,1,1,2,
2026-04-21 15:17:54,2026-04-21 15:25:59,0,,100,485,1,2026-04-21 15:26:00,R_8Hw7Jbhtkkquh2P,,,,,,,anonymous,EN,1,,,1,1,3,2,"Steve, an employee in a not defined sales related business, has done well in his job and has been summoned by his superior, given congratulations and told of a bonus headed his way. He is then informed that while he is being given the full bonus, he has a choice to split this with one of his colleagues, and that the choice is his to make.",0,0,2.12,0,18.936,18.936,30.581,1,To split the reward evenly between both players.,6.889,11.969,13.443,7,,,,,9.525,9.525,12.801,1,0,0,0.212,0,0,5,69d08c9eac812ae395149401,69e7951afdd5adb3629bb4c1,69e7557895b8b62fbc3c50b8,1,To split the reward evenly between both players.,0,3,1,2,
2026-04-21 15:21:57,2026-04-21 15:26:36,0,,100,278,1,2026-04-21 15:26:36,R_3qX3s5xcMesVK3q,,,,,,,anonymous,EN,1,,,1,1,3,2,James had been struggling for months and finally got a letter that he was awarded government assistance.  His neighbor Mark also applied and was not selected.  James has to decide if he should help Mark out,0,0,2.01,0,3.967,3.967,10.572,1,Well $1.50 gives the other player $4.50 and leaves me with $4.50 if he does not send anything back ,3.104,5.294,8.539,4,,,,,6.158,6.158,7.372,1,0,0,0.205,0,0,4.5,5d30d94d6c17550001d3ba17,69e7960df3c7e1c3b7af4102,69e7557895b8b62fbc3c50b8,1.5,Well $1.50 gives the other player $4.50 and leaves me with $4.50 if he does not send anything back ,1,2,1,4,
2026-04-21 15:17:07,2026-04-21 15:26:53,0,,100,585,1,2026-04-21 15:26:54,R_6FQzrOyKPS5T1xW,,,,,,,anonymous,EN,1,,,1,1,3,2,"The story is about teamwork and fair restitution for the team. Steve, the team leader, is in charge of sharing his bonus or keeping it all for himself. Max worked hard and made a significant contribution to the final sales numbers. ",0,0,2.006,0,15.066,20.738,22.232,2,I choose to give player 2 $1 since he will end up with $3. I felt that I deserved a bit more since I led the sales team. ,8.989,22.373,23.89,3,,,,,15.843,15.843,17.04,1,0,0,0.206,0,1,5,6965b08df069222c10b2bda2,69e794d363e48f7fa8978621,69e7557895b8b62fbc3c50b8,1,I choose to give player 2 $1 since he will end up with $3. I felt that I deserved a bit more since I led the sales team. ,0.5,1,1,2,
2026-04-21 15:19:51,2026-04-21 15:26:56,0,,100,424,1,2026-04-21 15:26:57,R_7qOVH9iM77VaxNf,,,,,,,anonymous,EN,1,,,1,1,3,2,"James applied for government welfare assistance and was approved for it. Mark, a neighbor who is also struggling, was not approved for the assistance. James must decide whether to keep all of the money for himself or share some with Mark. ",0,0,2.104,0,20.413,29.911,34.78,9,"I chose to send $3 because it is a fair split and still allows me to keep half of the money. It also gives Player 2 a decent amount after it is tripled, which could mean that they will send some back.",12.667,18.017,20.268,3,,,,,6.279,8.213,9.548,3,0,0,0.202,0,0,3,69c28ddad0c306c2f4e74af1,69e7959127619e60f166c222,69e7557895b8b62fbc3c50b8,3,"I chose to send $3 because it is a fair split and still allows me to keep half of the money. It also gives Player 2 a decent amount after it is tripled, which could mean that they will send some back.",4,4,1,4,
2026-04-21 15:21:07,2026-04-21 15:27:44,0,,100,396,1,2026-04-21 15:27:45,R_53qitYjux9c5eOQ,,,,,,,anonymous,EN,1,,,1,1,3,2,I think Steve should share the bonus with Max. Team work results was built from two people.,0,0,2.021,0,20.835,20.835,23.414,1,I try to make an equal amount for both of us,10.892,13.619,14.609,3,,,,,,,,,0,0,0.225,0,0,4,5e556536e1cbcd56c3a50342,69e795db8c11f8a4c38b2de1,69e7557895b8b62fbc3c50b8,2,I try to make an equal amount for both of us,1,,1,2,
2026-04-21 15:20:51,2026-04-21 15:27:52,0,,100,420,1,2026-04-21 15:27:52,R_1eOY6y89v5rabYN,,,,,,,anonymous,EN,1,,,1,1,3,2,"Steve has been awarded a bonus for his hard work and is given the opportunity to share the bonus, or not. Max helped a lot and Steve can share his bonus with him.",0,0,2.111,0,17.134,29.755,36.972,4,"If I send 2 dollars, he will recieve 6 which is equal to me. If he resends 2 dollars I'll be even and if it is less, I will only be out 1 or 2 dollars.",6.174,14.177,16.957,2,,,,,,,,,0,0,0.215,0,0,4,667992b506b5fb5504eb23e0,69e795caf046de6ac26b1bc9,69e7557895b8b62fbc3c50b8,2,"If I send 2 dollars, he will recieve 6 which is equal to me. If he resends 2 dollars I'll be even and if it is less, I will only be out 1 or 2 dollars.",1,,1,2,
2026-04-21 15:20:23,2026-04-21 15:28:28,0,,100,484,1,2026-04-21 15:28:28,R_8RPOJiiHrPILygQ,,,,,,,anonymous,EN,1,,,1,1,3,2,"James is struggling money wise, he finds out he has been selected for financial assistance, but also finds out a neighbour in the same predicament wasn't selected. He wanders whether he should help his neighbour or keep all the money as he really needs it.",0,0,2.008,0,2.713,5.624,7.304,2,"because that gives the biggest amount, 6*3= 18, hoping player 2 will be fair and share

",7.916,12.156,13.184,2,,,,,24.337,24.337,25.988,1,0,0,0.208,0,0,0,5a5e03dd8e62590001762542,69e795a944e524afed731be2,69e7557895b8b62fbc3c50b8,6,,9,1,1,4,
2026-04-21 15:21:46,2026-04-21 15:28:41,0,,100,415,1,2026-04-21 15:28:42,R_3WvYlERlmA2Qduz,,,,,,,anonymous,EN,1,,,1,1,3,2,"James finds out he was approved for government help, which he needs due to financial hardship. His neighbor who is in a similar situation didn't qualify. Should James help his neighbor or not?",0,0,2.008,0,19.768,19.768,21.074,1,"This seemed like a fair amount to send, as it is equal. The other player will have it amplified and therefore is a bonus for them.",11.015,11.015,12.214,1,,,,,9.006,9.006,10.167,1,0,0,0.207,0,0,3,69acf6f85da5345c709d4e2e,69e79603610f0ec02ce15971,69e7557895b8b62fbc3c50b8,3,"This seemed like a fair amount to send, as it is equal. The other player will have it amplified and therefore is a bonus for them.",4.5,3,1,4,
