model,set,task,context,item_id,points
claude,3,retrieval,C-LT,M5,7
claude,3,retrieval,C-LT,S2,2
claude,3,retrieval,C-LT,C4,2
claude,3,retrieval,C-LT,M8,9
claude,3,retrieval,C-LT,S7,2
claude,3,retrieval,C-LT,C1,1
claude,3,retrieval,C-LT,M3,8
claude,3,retrieval,C-LT,S5,3
claude,3,retrieval,C-LT,C8,1
claude,3,retrieval,C-LT,M1,11
claude,3,retrieval,C-LT,S4,2
claude,3,retrieval,C-LT,C3,1
claude,3,retrieval,C-LT,M6,9
claude,3,retrieval,C-LT,S8,1
claude,3,retrieval,C-LT,C7,2
claude,3,retrieval,C-LT,M2,10
claude,3,retrieval,C-LT,S6,1
claude,3,retrieval,C-LT,C5,1
claude,3,retrieval,C-LT,M7,10
claude,3,retrieval,C-LT,S3,3
claude,3,retrieval,C-LT,C2,1
claude,3,retrieval,C-LT,M4,10
claude,3,retrieval,C-LT,S1,4
claude,3,retrieval,M-UG,C6,8
claude,3,retrieval,M-UG,M5,2
claude,3,retrieval,M-UG,S2,2
claude,3,retrieval,M-UG,C4,10
claude,3,retrieval,M-UG,M8,3
claude,3,retrieval,M-UG,S7,2
claude,3,retrieval,M-UG,C1,4
claude,3,retrieval,M-UG,M3,2
claude,3,retrieval,M-UG,S5,4
claude,3,retrieval,M-UG,C8,4
claude,3,retrieval,M-UG,M1,5
claude,3,retrieval,M-UG,S4,4
claude,3,retrieval,M-UG,C3,4
claude,3,retrieval,M-UG,M6,6
claude,3,retrieval,M-UG,S8,2
claude,3,retrieval,M-UG,C7,5
claude,3,retrieval,M-UG,M2,5
claude,3,retrieval,M-UG,S6,9
claude,3,retrieval,M-UG,C5,5
claude,3,retrieval,M-UG,M7,4
claude,3,retrieval,M-UG,S3,3
claude,3,retrieval,M-UG,C2,5
claude,3,retrieval,M-UG,M4,4
claude,3,retrieval,M-UG,S1,3
claude,3,receiver,C-TG,TK2,25
claude,3,receiver,C-TG,TR1,28
claude,3,receiver,C-TG,TR2,22
claude,3,receiver,C-TG,TK1,25
claude,3,receiver,M-TG,TK2,26
claude,3,receiver,M-TG,TR1,26
claude,3,receiver,M-TG,TR2,21
claude,3,receiver,M-TG,TK1,27
claude,3,receiver,C-UG,UR1,30
claude,3,receiver,C-UG,UA2,20
claude,3,receiver,C-UG,UR2,30
claude,3,receiver,C-UG,UA1,20
claude,3,receiver,M-UG,UR1,27
claude,3,receiver,M-UG,UA2,23
claude,3,receiver,M-UG,UR2,27
claude,3,receiver,M-UG,UA1,23
