"classification_id","memory"
"WCLS09479","Slightly unnecessary"
"WCLS09480","Slit tip at a restaurant."
"WCLS09481","Small compromise to keep cooperation smooth."
"WCLS09482","small discount for a colleague"
"WCLS09483","small discount to the introductory price"
"WCLS09484","Small discount, still a good price."
"WCLS09485","small donation"
"WCLS09486","small donation to charity"
"WCLS09487","small gift"
"WCLS09488","Small loan to a family member that you know they probably won't pay back."
"WCLS09489","Small reduction but would be helpful"
"WCLS09490","small token amount could have been more and could have been a lot worse"
"WCLS09491","Small transfer to ensure they could pay for something they couldn't afford by a few $"
"WCLS09492","smaller rebate for other participant"
"WCLS09493","Smaller sale that is less inviting to others but better for the shop"
"WCLS09494","Smiling at a stranger on public transport because you both witness something funny at the same time."
"WCLS09495","Sneakily keeping quiet about some money found on the floor by the person who may have dropped it."
"WCLS09496","so many times i am asked by salesmen online to give a small amount of money for a business venture that i will reap the rewards down the road, but many of them seem like cheap schemes to get my money for nothing."
"WCLS09497","so not making a profit at all"
"WCLS09498","So they can finish paying for their meal"
"WCLS09499","Social conscience and a sense of fairness. That world has gone and been taken over by greed."
"WCLS09500","Socialism"
"WCLS09501","Socialism - making you give more money to the other person than is warranted to make up for the perceived wrongness of some people having more money than others."
"WCLS09502","Socialism or communism."
"WCLS09503","Socialism. I'm transferring to make the other participant equal to what I have."
"WCLS09504","socialism/communism because we both get paid the same."
"WCLS09505","Socialism/Communism."
"WCLS09506","Socially just economic systems where collective wealth is shared equally"
"WCLS09507","Socks from a fairly responsible store"
"WCLS09508","Some asshat billionaire trying to hoard as much wealth as humanly possible while not caring about anyone else"
"WCLS09509","some groups in life getting a better life just because they were born into wealth"
"WCLS09510","Some guy buys a bike for 12 but then realizes the breaks kinda don't work well and needs to change them so lowers the price by six bucks"
"WCLS09511","Some guy receiving something and then tleling theother guy he has to pay for it or that he doesn't have enough money to cover him for whatever expense"
"WCLS09512","Some money contributing towards a friend's birthday present"
"WCLS09513","Some one offering an item on their stall on a farmers market for half price"
"WCLS09514","Some people might find this so-called virtue signalling but it might be a genuine generous move by someone who has even more in the bank the 8 dollars"
"WCLS09515","Some people will not be willing to give up any money for another person"
"WCLS09516","Some savings to be had"
"WCLS09517","some share but not lots, more like a token"
"WCLS09518","Some shopping they got for you."
"WCLS09519","Some will consider this greed but you may need this money for something in your life"
"WCLS09520","Somebody being greedy"
"WCLS09521","Somebody buying me a coffee."
"WCLS09522","Somebody owing me something."
"WCLS09523","someguy negotiating a pokemon card online the buyer says market price actually says its not 12 but 8 bucks and the guy concedes the card"
"WCLS09524","someone asking to borrow money and giving it them"
"WCLS09525","Someone asking to borrow money or have their bill covered and saying no."
"WCLS09526","Someone asking you for a favour and you refusing to give it. Such as carrying on rather than letting someone turn at a junction."
"WCLS09527","Someone asking you for spare change and you saying you don't have any when you do."
"WCLS09528","Someone attending a job interview and stating a non-negotiable salary requirement."
"WCLS09529","Someone being a little too greedy."
"WCLS09530","Someone being altruistic and paying a large share of a bill"
"WCLS09531","Someone being extremely altruistic"
"WCLS09532","Someone being fair-minded"
"WCLS09533","someone being generous"
"WCLS09534","Someone being greedy and hoarding all their money for themselves"
"WCLS09535","Someone being miserly and self-concerned, not looking to help anyone other than themself. Like Scrooge."
"WCLS09536","Someone being stingy and not giving to someone in need"
"WCLS09537","Someone being very generous"
"WCLS09538","someone being very greedy, like corporations"
"WCLS09539","someone believing that they don't owe it to give someone charity"
"WCLS09540","Someone bending over backwards for you."
"WCLS09541","Someone bought a coffee for me and I'm paying them back."
"WCLS09542","Someone bought candy that you are going to share."
"WCLS09543","Someone bought me coffee and I am paying them back."
"WCLS09544","someone buying me a coffee"
"WCLS09545","someone buying me a drink"
"WCLS09546","Someone buying my lunch for me."
"WCLS09547","Someone choosing to share part of a bonus or gift with another person out of courtesy, even though they are not required to do so and still keep the larger portion."
"WCLS09548","someone close to me got spiked when they were out clubbing, sadly the person never got caught"
"WCLS09549","Someone comfortable with keeping things to themselves."
"WCLS09550","Someone did a favor for me with nothing expected in return."
"WCLS09551","Someone did something really nice for you or helped you out so you are returning the favor."
"WCLS09552","Someone donating money to others / sharing their wealth."
"WCLS09553","Someone donating to charity, they are taking away from their money to give to someone else in a selfless way."
"WCLS09554","Someone dropped their five pound note without realising it and you gave it to them"
"WCLS09555","Someone feeling entitled the their share like an agent's commission"
"WCLS09556","someone finding £100 and splitting it with the person they are with 50/50"
"WCLS09557","Someone gets lucky and wins a raffle"
"WCLS09558","Someone giving an item away for nothing after a day selling items i.e. fruit and veg, so they do not have to take it back with them, also if it was a perishable item, it might not be worth trying to sell it over the next couple of days as the item would not be as fresh"
"WCLS09559","Someone giving money to someone they do not know for example, a musician on the street."
"WCLS09560","Someone giving to the poor and giving all their money away."
"WCLS09561","someone has bought me some lunch like a sandwich"
"WCLS09562","Someone has done a good job so I transfer a little tip to them"
"WCLS09563","Someone has stolen half the money in your purse."
"WCLS09564","Someone has stolen two thirds of the money in your purse."
"WCLS09565","Someone having more than they need, and not sharing."
"WCLS09566","Someone I care for who does a lot for me and I them."
"WCLS09567","Someone I didn't like very much"
"WCLS09568","someone i don't know or someone i really don't like"
"WCLS09569","Someone I don't know so well, but I know that they would benefit from a bit of extra cash."
"WCLS09570","Someone I know buying me a drink in a cafe"
"WCLS09571","Someone I know has never bought any gifts or paid for anything."
"WCLS09572","someone i know or like"
"WCLS09573","someone i know owes me money so i take a cut from some money that was owed to both of us from a third party"
"WCLS09574","Someone I like and think a lot of"
"WCLS09575","someone i once thought i could trust went and said things behind my back and once i found out, i never spoke to them again"
"WCLS09576","Someone in a higher wage bracket than you at work"
"WCLS09577","Someone in a lower wage bracket than you at work"
"WCLS09578","someone in need and could really do with a discount as they are struggling"
"WCLS09579","someone in need, someone who is struggling with money and needs helping"
"WCLS09580","someone in need, someone who really needs a discount in order toget by"
"WCLS09581","Someone is being a little stingy."
"WCLS09582","Someone is being taken advantage of."
"WCLS09583","Someone is helping you as part of a bigger project, and you are paying them fairly for their portion of work"
"WCLS09584","Someone is only paying you half of what they owe you"
"WCLS09585","Someone is paying me back for coffee."
"WCLS09586","Someone is really struggling and needs extra support for their health care needs."
"WCLS09587","Someone kind who likes to make others happy"
"WCLS09588","someone less fortunate"
"WCLS09589","someone making sure the other person is taken care of. Caring more about the other person's well being than yourself."
"WCLS09590","someone needs money for a candy bar"
"WCLS09591","someone needs money for a pack of paper"
"WCLS09592","someone needs money for a parking spot"
"WCLS09593","someone not thinking of others, but not being selfish"
"WCLS09594","Someone offering you a bid on a selling app"
"WCLS09595","Someone overcompensating to try to protect a relationship or keep the other person happy"
"WCLS09596","Someone oweing you $4"
"WCLS09597","Someone owes a bill. Perhaps someone paid for lunch for their friend, but their friend was supposed to pay them back $8 for their share."
"WCLS09598","Someone owes me some money"
"WCLS09599","Someone receives money and feels generous/guilty and transfers the majority of the money to the other person."
"WCLS09600","Someone robbing a bank"
"WCLS09601","Someone selling an item for $8 on a selling site such as Ebay or Vinted"
"WCLS09602","someone sends me the money for candy"
"WCLS09603","someone sends me the money for food"
"WCLS09604","someone sends me the money for lunch"
"WCLS09605","Someone splitting a chocolate bar evenly."
"WCLS09606","Someone stealing from another person or a business"
"WCLS09607","someone stealing from you."
"WCLS09608","Someone taking a fair split."
"WCLS09609","Someone taking money off me and not giving it back"
"WCLS09610","Someone taking money out of someone's purse. Stealing."
"WCLS09611","Someone taking something from someone else"
"WCLS09612","Someone tells you a very personal secret and you do not respond or show any emotion."
"WCLS09613","Someone that I know that only ever thinks of themselves."
"WCLS09614","Someone that is selfish and greedy in their every day decision making."
"WCLS09615","Someone that wants someone to like them by constantly doing nice things at the expense of themselves."
"WCLS09616","someone there's no expectation of me to like or know or give anything"
"WCLS09617","Someone trying to be cheeky and get something of yours."
"WCLS09618","someone trying to get rid of stock"
"WCLS09619","Someone trying to rip you off - trying to get a bargain"
"WCLS09620","Someone unwilling to share."
"WCLS09621","Someone volunteering or doing an apprenticeship for a profit-making company to try and get a job there long-term, or improve their resume"
"WCLS09622","Someone walking in a store finding something priced at only $12 and saying wow this is an amazing price ill buy it right now heck that's really low"
"WCLS09623","Someone went to the store and found an item on clearance. It was a deep discount for that item."
"WCLS09624","Someone who accepts what is given in life"
"WCLS09625","Someone who believes in equality"
"WCLS09626","Someone who believes in equality and wants others to prosper as much as themselves."
"WCLS09627","someone who doesn't like change"
"WCLS09628","Someone who doesn’t know what they’re doing are doing"
"WCLS09629","Someone who eats more than their share at a group meal"
"WCLS09630","Someone who gives up more than they keep for themself, a rare type of philanthropy where you give away more than you keep."
"WCLS09631","Someone who has a sense of their own entitlement with a little instinct of fairness too."
"WCLS09632","someone who has done more work than you on a task"
"WCLS09633","someone who has less than me"
"WCLS09634","Someone who has no idea what they’re doing and just goes with the flow"
"WCLS09635","Someone who has no personality talking at you whilst you day dream."
"WCLS09636","Someone who is afraid to ask for what they need."
"WCLS09637","Someone who is either really generous or doesn’t understand the rules"
"WCLS09638","Someone who is fair and decides everything should be split evenly"
"WCLS09639","Someone who is generous and believes in being fair"
"WCLS09640","Someone who is generous and thinks of others."
"WCLS09641","Someone who is generous, sharing half of what they have even if it gives the other person more. Like an altruistic philanthropist."
"WCLS09642","Someone who is greedy and wants to maximise their profit"
"WCLS09643","Someone who is levelling the playing field. Being fair and considerate to others. It reminds me of someone winning a scratch card or bingo ticket and sharing the winnings with those they are with."
"WCLS09644","Someone who is looking out for number one."
"WCLS09645","Someone who is not completely mean spirited but are quite mean"
"WCLS09646","someone who is only concerned about self"
"WCLS09647","Someone who is really greedy and selfish"
"WCLS09648","someone who is trying to be kind"
"WCLS09649","Someone who is trying to make more money"
"WCLS09650","someone who is very careful with their money. Someone who leaves things as they are instead of rocking the boat."
"WCLS09651","someone who knows how much money a person has and knows they can ask for more and get it."
"WCLS09652","Someone who over shares - possibly does not value money"
"WCLS09653","Someone who seeks to maximise equality and wealth distribution. Like a socialist."
"WCLS09654","someone who thinks of themselves first, but considers others"
"WCLS09655","Someone who wants to make some money but isn’t too greedy"
"WCLS09656","Someone who was willing to help me but not by very much. and this didnt give me the feel good factor"
"WCLS09657","someone who works above another in a company and has slightly greater pay"
"WCLS09658","someone willing to share the wealth with others instead of keeping it all for themselves."
"WCLS09659","Someone with a generous spirit."
"WCLS09660","Someone with means helping out another person, but still retaining most of their money for themself. A bit like a person who gives charity."
"WCLS09661","Someone with no sense of interest in other's welfare, someone totally focussed on their own needs."
"WCLS09662","Someone with the ability to take advantage and doing just this"
"WCLS09663","Someone you dislike slapping you in the face."
"WCLS09664","someone you really don't know"
"WCLS09665","Something being cheaper than normal"
"WCLS09666","Something being shared with my sister to make sure we both have the same"
"WCLS09667","Something being slightly cheaper"
"WCLS09668","Something being split evenly just for the sake of saying its even"
"WCLS09669","something even nicer to do"
"WCLS09670","Something getting slightly more expensive"
"WCLS09671","Something I would usually do... I don't know this person, why would i give them money."
"WCLS09672","Something in an amazon basket going up in price due to demand"
"WCLS09673","something in the sale or a special discount in store"
"WCLS09674","Something is on sale in-store, but not that much coming off the original price."
"WCLS09675","something like making a more generous gesture to help someone who needs it more, even if it costs you a noticeable amount."
"WCLS09676","something nice to do"
"WCLS09677","something on a store shelf"
"WCLS09678","Something on offer which has gone down to a good price"
"WCLS09679","Something pointless like putting away an empty food packet."
"WCLS09680","something quite sensible"
"WCLS09681","Something really cruel"
"WCLS09682","Something that has lost its value."
"WCLS09683","Something that is just, fair and equal"
"WCLS09684","Something unfair in life - like not being given the same value present as my siblings"
"WCLS09685","Something unfair, giving away my money so I end up with less than the person I've given to."
"WCLS09686","Something where it is fair that it is equally divided (e.g., a bonus that should be split across a team)."
"WCLS09687","Something with consistent pricing that doesnt really change. A good example would be something like a phone bill, internet package, something that has a set agreed price."
"WCLS09688","Sometimes Amazon jacks up their prices more than other places to make their fake sales look more attractive. Something in my cart increased in price to a price that I would never pay."
"WCLS09689","Sometimes I don't tell my wife I got a check from Prolific"
"WCLS09690","Sometimes I wait for a sale to happen from Popmart but some items never go on sale and the price never changes."
"WCLS09691","Sometimes you get nothing"
"WCLS09692","Somewhat adequate price for the data"
"WCLS09693","somewhat unfair"
"WCLS09694","Somewho who has no money or who is really in need to the money so they choose to keep all the money for themselves."
"WCLS09695","somone half heartedlt thanking you"
"WCLS09696","somone willing to gove some but not all of what they have to help another"
"WCLS09697","Sounds like something a US republican would do. Highly selfish."
"WCLS09698","Sounds like too much and would not make it a worthwhile deal"
"WCLS09699","Special offer on the item."
"WCLS09700","Special sales on days like boxing day or black friday."
"WCLS09701","spend more on groceries for a weekly shop"
"WCLS09702","spending all day on a project and someone ruining it at the end."
"WCLS09703","spending and saving no money"
"WCLS09704","Spending money at the grocery store for missing grocery items like eggs."
"WCLS09705","Spending money at the shops"
"WCLS09706","Spending money getting food for lunch"
"WCLS09707","Spending money in a cheap cafe"
"WCLS09708","Spending money in a coffee shop"
"WCLS09709","Spending money on a meal deal"
"WCLS09710","Spending money on bus fare."
"WCLS09711","Spending more than required to purchase a gift."
"WCLS09712","spending time with a friend no costs involved"
"WCLS09713","Spending your pocket money on a birthday present for your favourite auntie, even though you don't have much left for yourself."
"WCLS09714","Split a dinner check equally."
"WCLS09715","Split or steal"
"WCLS09716","Split the tip at an expensive restaurant."
"WCLS09717","Spliting the money between us. We neither one had any and now we both have some"
"WCLS09718","Splitting $4 of my money, so we both have an equal payment"
"WCLS09719","Splitting 50:50 even if that isn't the true allocation of the amount of work that been performed by both parties."
"WCLS09720","Splitting a bill"
"WCLS09721","Splitting a bill 50/50 as the total bill is $12"
"WCLS09722","Splitting a bill at a restaurant"
"WCLS09723","Splitting a bill but decided to skip out on it"
"WCLS09724","Splitting a bill down the middle at a restaurant."
"WCLS09725","splitting a bill equally"
"WCLS09726","Splitting a bill equally even if one person consumed less."
"WCLS09727","Splitting a bill equally with a friend"
"WCLS09728","Splitting a bill evenly"
"WCLS09729","Splitting a bill fairly down the middle."
"WCLS09730","Splitting a bill in a cafe or restaurant"
"WCLS09731","Splitting a bill in a restaurant in with a friend so you are both paying the same amount"
"WCLS09732","Splitting a bill or reward"
"WCLS09733","Splitting a bill proportionately where their total spend was higher."
"WCLS09734","Splitting a bill proportionately where their total spend was lower."
"WCLS09735","Splitting a bill where they got something more expensive and mine was only $4"
"WCLS09736","Splitting a bill with a friend"
"WCLS09737","splitting a bonus with a colleague"
"WCLS09738","Splitting a cake down the middle and sharing equally"
"WCLS09739","Splitting a cake fairly"
"WCLS09740","Splitting a check in a restaurant"
"WCLS09741","Splitting a dinner bill exactly in half with a friend, even if one of you ate a bit more."
"WCLS09742","Splitting a gift for someone."
"WCLS09743","splitting a group project bonus with a teammate who did less work than you. You give more than the initial share to be fair or cooperative."
"WCLS09744","splitting a loaf of bread in half and sharing it with your friend"
"WCLS09745","Splitting a meal"
"WCLS09746","splitting a meal amongst people"
"WCLS09747","Splitting a meal bill evenly when you both have had the same exact meal."
"WCLS09748","Splitting a meal with someone."
"WCLS09749","splitting a pack of biscuits and i get a bit more"
"WCLS09750","Splitting a payment by over half"
"WCLS09751","Splitting a pizza"
"WCLS09752","Splitting a pizza with another person"
"WCLS09753","Splitting a restaurant bill"
"WCLS09754","Splitting a restaurant bill 50/50"
"WCLS09755","Splitting a restaurant bill equally among friends."
"WCLS09756","Splitting a restaurant bill equally."
"WCLS09757","splitting a sandwich"
"WCLS09758","Splitting a sandwich with a friend and giving them a bite of your half because yours turned out bigger"
"WCLS09759","Splitting a shared bonus or gift evenly when one person didn't initially receive anything. It feels like a fair compromise. You give them half of what you have to balance things out."
"WCLS09760","Splitting a shared prize or tip evenly with a friend. For example, two friends win a gift card together and decide to share it equally."
"WCLS09761","Splitting a small cost with roommates"
"WCLS09762","Splitting a tiny reward from something like scratch tickets we did to even a balance."
"WCLS09763","splitting a tip I got with my best friend"
"WCLS09764","splitting an appetizer with a friend"
"WCLS09765","Splitting an appetizer."
"WCLS09766","splitting an inheritance I received"
"WCLS09767","Splitting an unequal initial allocation to achieve perfect equality."
"WCLS09768","splitting any costs/earnings exactly"
"WCLS09769","Splitting anything (even cake!) equally - being taught to share"
"WCLS09770","Splitting anything evenly"
"WCLS09771","splitting cash I found while with a friend"
"WCLS09772","Splitting chocolate with siblings."
"WCLS09773","splitting debt in half"
"WCLS09774","splitting dinner 50/50 with my partner"
"WCLS09775","Splitting down the middle, seeking fairness"
"WCLS09776","splitting earnings fairly between two people"
"WCLS09777","splitting earnings with a partner"
"WCLS09778","splitting equally"
"WCLS09779","Splitting equally the money I have on hand with a friend who has nothing"
"WCLS09780","splitting evenly"
"WCLS09781","Splitting evenly like the bill at dinner with a friend"
"WCLS09782","splitting fuel costs for a journey with a friend who has driven me"
"WCLS09783","Splitting game money you both earned as a duo"
"WCLS09784","Splitting it 50/50 like having half a cake each"
"WCLS09785","Splitting it completely fairly down the middle"
"WCLS09786","Splitting it down the middle and being friendly/caring."
"WCLS09787","SPlitting it equally like a parent with 2 children would."
"WCLS09788","Splitting it equally, like we both worked for it. Similar to splitting a tip at work."
"WCLS09789","Splitting it evenly with a partner"
"WCLS09790","Splitting it evenly, fairs fair"
"WCLS09791","Splitting it in half."
"WCLS09792","Splitting it pretty much but I get A little less"
"WCLS09793","splitting lunch with a friend and sending them money for it."
"WCLS09794","Splitting money between me and my brother in the arcade to play games."
"WCLS09795","Splitting money found on the street evenly with a friend"
"WCLS09796","splitting money up"
"WCLS09797","splitting money we have both earned together equally"
"WCLS09798","Splitting money won in a team event based on individual contributions, where the other participant made a more impactful contribution, e.g. a pub quiz when the other person got the tie-breaker right."
"WCLS09799","Splitting profit from a business deal. Not equal but in accordance with percentages agreed upon."
"WCLS09800","splitting profits with another tiler who did the other half of the work on a bathroom contract"
"WCLS09801","Splitting resources we both contributed to."
"WCLS09802","Splitting some money in half that I found to make things fair for both"
"WCLS09803","splitting something 50/50"
"WCLS09804","Splitting something equally between my two grandsons"
"WCLS09805","Splitting something evenly like if I payed for a meal that we shared"
"WCLS09806","Splitting something evenly."
"WCLS09807","Splitting something in half with someone"
"WCLS09808","Splitting something in half, like sharing food."
"WCLS09809","Splitting something in half, or divvying up a kitty between two people"
"WCLS09810","Splitting something which could be part of a larger transaction where lots of people owe $4"
"WCLS09811","Splitting something with someone you love, wanting them to have the bigger share"
"WCLS09812","Splitting the amount 50-50 for fairness to both parties"
"WCLS09813","Splitting the amount fairly between the two of you, even though you don't know who they are or what they are like"
"WCLS09814","Splitting the amount to buy a gift for someone."
"WCLS09815","Splitting the bill"
"WCLS09817","splitting the bill at a restaurant equally"
"WCLS09818","Splitting the bill equally, like at a cafe or restaurant with a friend or family member."
"WCLS09819","Splitting the bill exactly."
"WCLS09820","splitting the bill in a restaurant"
"WCLS09821","splitting the bill with a friend"
"WCLS09822","Splitting the bill with a friend at a restaurant."
"WCLS09823","Splitting the bill with a friend when going out for coffee or dinner and one person pays the full bill for the other to later pay their half"
"WCLS09824","splitting the bill with another person"
"WCLS09825","Splitting the bill with somebody but you tell them it was more than it actually was so that you don't pay as much as them."
"WCLS09826","splitting the bill with someone"
"WCLS09827","Splitting the bill you have just eaten with a friend."
"WCLS09828","Splitting the breakfast bill at an inexpensive restaurant."
"WCLS09829","Splitting the cost of a dinner with a friend."
"WCLS09830","Splitting the cost of a meal with someone."
"WCLS09831","splitting the cost of something with someone"
"WCLS09832","Splitting the cost of something, like a meal and we pay equally"
"WCLS09833","Splitting the earning between partners who have put the same effort into a project"
"WCLS09834","splitting the earnings with a partner fairly"
"WCLS09835","splitting the food equally so both people get an equal share"
"WCLS09836","splitting the money"
"WCLS09837","Splitting the money down the middle so you both get equal amounts."
"WCLS09838","Splitting the money equally so like a parent with 2 children"
"WCLS09839","Splitting the money fairly 50.50"
"WCLS09840","Splitting the payment between myself and my two sisters so we all have the same amount."
"WCLS09841","splitting the profit and equal sharing"
"WCLS09842","Splitting the profit equally"
"WCLS09843","Splitting the reward in half"
"WCLS09844","Splitting the reward in half between me and the other participant"
"WCLS09845","splitting the total equally, as if we had both contributed to a winning lottery ticket syndicate"
"WCLS09846","splitting the transfer in half"
"WCLS09847","Splitting tips with your waitress partner."
"WCLS09848","Splitting up pay to both of us equally as we shared equally in some work task."
"WCLS09849","splitting winnings 50/50 with a friend"
"WCLS09850","Splitting winnings we went in together to play for."
"WCLS09851","splitting winnings with a friend on a night out"
"WCLS09852","Splitting winnings with a friend."
"WCLS09853","Splitting with a friend if did a joint quiz with cash prize"
"WCLS09854","Splitting with siblings"
"WCLS09855","Splitting your lunch with a friend"
"WCLS09856","Splitting your resources more equally with someone. If you earned $8, and your friend has $4, giving them $4 is like saying, Let's make it fair or here, now we each have the same. It's a strong act of fairness or sharing."
"WCLS09857","Sponsering someone for a charity event, e.g. a sponsered walk"
"WCLS09858","Sponsoring a colleague in a charity event."
"WCLS09859","Spotting a friend for coffee or something, knowing that either they helped you in the past or will help out in the future."
"WCLS09860","stagnation in the economy"
"WCLS09861","Standard day to day as nothing changes"
"WCLS09862","Standard price fluctuation of any business selling goods"
"WCLS09863","standard sale, no change"
"WCLS09864","Standard shopping transaction."
"WCLS09865","Standing firm on a big ticket item that's not going to lose value."
"WCLS09866","Standing your ground."
"WCLS09867","Starting at $6 would be similar to a scenario whereby you are selling something online such at half price as if it were in a sale in order to get rid of it quickly."
"WCLS09868","starting off with the same amount of money"
"WCLS09869","starting to get sad that i am losing money"
"WCLS09870","statistically shareing the results"
"WCLS09871","status quo both reposnsible"
"WCLS09872","Status quo day at the store"
"WCLS09873","status quo in the world"
"WCLS09874","status quo of the original apportionment"
"WCLS09875","Staying he same and accepting hat you have like not negotiating for a pay rise."
"WCLS09876","Staying home and not spending any money"
"WCLS09877","staying home doing nothing"
"WCLS09878","Staying neutral"
"WCLS09879","staying neutral and middle of the road"
"WCLS09880","staying on the same job posisition with your friend"
"WCLS09881","Staying stationary in unmoving traffic"
"WCLS09882","stays the same"
"WCLS09884","stealing $4 from someone"
"WCLS09885","Stealing 4 from someone"
"WCLS09886","stealing a bottle of liquor"
"WCLS09887","stealing a box of chocs"
"WCLS09888","stealing a friends job"
"WCLS09889","stealing a sandwich from the shop"
"WCLS09890","Stealing all of someone's money, of which they are poorer than you"
"WCLS09891","Stealing all of someone's money."
"WCLS09892","stealing and taking someone for everything they have"
"WCLS09893","Stealing but rationalising as not actually stealing because technically 'the money is mine' first of all. This is like the richest in society paying tax advisers to avoid as much tax as possible. Legally - not tax evasion which would be taking $12 from the other participant in this analogy. Just Tax Avoidance which is legal and they can do it but quite often it is simply being greedy and not wanting to pay their fare share after already having so much, they still want more. It is Tax Avoidance in my eyes to not transfer any money across to the other participant because it isn't 'illegal' as in it isn't technically wrong, I can do it, but that doesn't make it right."
"WCLS09894","Stealing from a baby - they have no way to stop it happening"
"WCLS09895","Stealing from a collection pot."
"WCLS09896","Stealing from a corner shop."
"WCLS09897","Stealing from a donation collection pot for a charity I really care about."
"WCLS09898","stealing from a friend"
"WCLS09899","Stealing from a homeless person"
"WCLS09900","Stealing from a shop, maybe walking out with a food item without paying."
"WCLS09901","stealing from a stranger"
"WCLS09902","Stealing from an individual who doesn't deserve it"
"WCLS09904","Stealing from my bank"
"WCLS09905","Stealing from people. This is like if I just took 4 dollars from someones pocket for no particular reason."
"WCLS09906","Stealing from shops"
"WCLS09907","Stealing from somebody"
"WCLS09908","Stealing from somebody."
"WCLS09910","Stealing from someone else"
"WCLS09911","Stealing from someone else what they were originally allocated"
"WCLS09912","Stealing from someone on the street"
"WCLS09913","Stealing from someone who needs the item as much as you do."
"WCLS09915","stealing from the rich to give to the poor"
"WCLS09916","stealing from them"
"WCLS09917","stealing from them and unfair"
"WCLS09919","stealing funds from someone"
"WCLS09920","stealing like taxation"
"WCLS09922","Stealing money from a friend"
"WCLS09923","stealing money from a homeless person"
"WCLS09924","stealing money from an someone you know but are not fully friendly with"
"WCLS09925","Stealing money from another person."
"WCLS09926","Stealing money from friend."
"WCLS09928","Stealing money from someone less fortunate"
"WCLS09929","Stealing money from someone or a shop or something"
"WCLS09931","stealing money from your parents wallet"
"WCLS09932","Stealing or a boss underpaying their workers"
"WCLS09933","stealing or tricking someone"
"WCLS09934","Stealing or underdealing"
"WCLS09935","stealing someone's wallet"
"WCLS09936","stealing someones coffee"
"WCLS09937","stealing something from someone"
"WCLS09938","Stealing something personal from someone"
"WCLS09939","Stealing sweets off a child"
"WCLS09940","Stealing the last $4 someone has"
"WCLS09941","stealing their money"
"WCLS09942","Stealing their money!"
"WCLS09943","Stealing unjustly"
"WCLS09944","Stealing, general greed, it reminds me of CEO's earning 100x's of times more than the average employee salary at their company and yet still wanting more. Never being satisfied."
"WCLS09945","stealing, i would find this similar to taking money out of a friends wallet without telling them"
"WCLS09946","Stealing, taking all for yourself"
"WCLS09948","steep discount to the introductory price"
"WCLS09949","Sticking to an agreed amount"
"WCLS09950","sticking to the agreed price without negotiation like buying an item at full price from a supermarket"
"WCLS09951","sticking to the original and not considering other options, or being clear that is the best price"
"WCLS09952","sticking with a default arrangement, like splitting a restaurant bill exactly as originally assigned without adjusting for generosity or fairness."
"WCLS09953","Sticking with an original idea."
"WCLS09954","Still being cautious and not knowing what lies ahead ."
"WCLS09955","Still being generous."
"WCLS09956","Still being helpful to someone on the street. Giving a small amount."
"WCLS09957","Still below the real price"
"WCLS09958","Still conserving money."
"WCLS09959","Still in the red. Still in the negative."
"WCLS09960","Still like when I get my paycheck and the fed takes what they want."
"WCLS09961","still losing money but not as much"
"WCLS09962","still not really fair- my data is worth more - its like being underpayed for a valued item you sold on ebay or at a carboot"
"WCLS09963","Still now acceptable"
"WCLS09964","still quite generous on one's part"
"WCLS09965","Still seems pretty fair to me to give a small bit"
"WCLS09966","still sharing, but im starting to lose not a fan"
"WCLS09967","Still unfair to the other participant"
"WCLS09968","still will go down which might leave one party benefiting while the other suffer"
"WCLS09969","Still, lowering the value of the data"
"WCLS09970","Stingi git work colleagues who will take but not replenish refreshments."
"WCLS09971","Stock markets average change"
"WCLS09972","stock price fluctuation"
"WCLS09973","Stock that has just launched and no early bird offers"
"WCLS09974","stock that you have too much of that you want to shift quickly as it appears unpopular"
"WCLS09975","stocks and shares flatlining, as the market fluctuates"
"WCLS09976","Stocks and shares when the value of an asset changes, in this case declines"
"WCLS09977","Store sales like Amazon or Walmart"
"WCLS09978","Stores caving to the tariffs made by the government."
"WCLS09979","Stores lower the price during Black Friday."
"WCLS09980","Stores offer temporary discounts."
"WCLS09981","Straight split. Seems the most logical, fair and just. Without any outside factors that could potentially alter my view. I would hope that the majority of people would choice this at the bare minimum."
"WCLS09982","Strict price regimes at local stores who fail to adhere to market conditions"
"WCLS09983","Struggling to afford anything"
"WCLS09984","struggling to be able to live comfortably"
"WCLS09985","stubbornness"
"WCLS09986","stuck with what was agreed"
"WCLS09987","student deal, to help out students"
"WCLS09988","Student discount online"
"WCLS09989","stupidity"
"WCLS09990","Stupidity - having less money than before and making someone else richer"
"WCLS09991","Subcontracting for a firm offering a range of services"
"WCLS09992","Subservient, trying to gain favour."
"WCLS09993","Super generous I would say"
"WCLS09994","Super market prices are usually the same"
"WCLS09995","super selfish, i wouldnt do this one."
"WCLS09996","Superman. The absolute worst there is."
"WCLS09997","Supermarket offer on coffee every few weeks."
"WCLS09998","supply and demand of everyday products"
"WCLS09999","supporting a friend worse off than yourself"
"WCLS10000","Supporting someone else financially more than yourself, like contributing more to a group fund or charity than you keep for yourself. Or an older sibling letting a younger sibling take the bigger share of dessert."
"WCLS10001","Suppose charity, but again there's no guarantee that person is going to get $4 so I suppose this would be a kind of virtue thing"
"WCLS10002","Surge pricing at wendys up and down during the day."
"WCLS10003","Swapping the amounts. Could be seen as generous and hopefully the other person is grateful."
"WCLS10004","switching places with the other participant."
"WCLS10005","sympathy"
